date,price
2019.6.19,12420
2019.6.20,12500
2019.6.21,12430
2019.6.24,12460
2019.6.25,12430
2019.6.26,12455
2019.6.27,12750
2019.6.28,12695
2019.7.1,12710
2019.7.2,12550
2019.7.3,12220
2019.7.4,12420
2019.7.5,12405
2019.7.8,11875
2019.7.9,11815
2019.7.10,11920
2019.7.11,12215
2019.7.12,12260
2019.7.15,12235
2019.7.16,12360
2019.7.17,12110
2019.7.18,12055
2019.7.19,12410
2019.7.22,12395
2019.7.23,12520
2019.7.24,12275
2019.7.25,12235
2019.7.26,12170
2019.7.29,11810
2019.7.30,11890
2019.7.31,11675
2019.8.1,11615
2019.8.2,11375
2019.8.5,10885
2019.8.6,10580
2019.8.7,10440
2019.8.8,10540
2019.8.9,10690
2019.8.12,10710
2019.8.13,10495
2019.8.14,10650
2019.8.16,10555
2019.8.19,10705
2019.8.20,10920
2019.8.21,10955
2019.8.22,10780
2019.8.23,10765
2019.8.26,10455
2019.8.27,10510
2019.8.28,10705
2019.8.29,10595
2019.8.30,10970
2019.9.2,10980
2019.9.3,10905
2019.9.4,11210
2019.9.5,11420
2019.9.6,11520
2019.9.9,11685
2019.9.10,11805
2019.9.11,11970
2019.9.16,12055
2019.9.17,12060
2019.9.18,12195
2019.9.19,12350
2019.9.20,12470
2019.9.23,12485
